Close,High,Low,Open,Volume
BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
465.6424560546875,483.55780029296875,463.511474609375,473.99468994140625,1904086807
470.62554931640625,472.2980041503906,455.4051818847656,465.72210693359375,1646437501
485.11102294921875,487.49969482421875,467.58477783203125,470.9144287109375,1999805026
488.14886474609375,497.2583312988281,481.9736328125,485.09942626953125,1844483840
501.02032470703125,505.2679443359375,482.24603271484375,488.0538330078125,1890415594
471.2569274902344,504.64862060546875,467.42236328125,501.34783935546875,3081793454
478.6431579589844,498.0141906738281,470.9593811035156,470.9593811035156,1962748496
485.90643310546875,485.90643310546875,473.1125793457031,478.9422607421875,1170864603
476.63311767578125,486.8027038574219,468.1982116699219,485.9901428222656,1246191889
484.64508056640625,488.8943176269531,474.8721618652344,475.92425537109375,1337787876
478.0250549316406,489.774169921875,475.2862854003906,484.7068786621094,1486193826
449.00799560546875,486.1675109863281,440.44500732421875,478.1210632324219,2340091135
492.0155334472656,494.9148864746094,447.6197204589844,448.8858337402344,2626956133
529.6221313476562,533.4754028320312,488.8721618652344,492.43255615234375,2667451365
527.9212036132812,539.9388427734375,511.9313049316406,529.8226928710938,2194893915
524.3644409179688,534.7709350585938,510.5654602050781,528.5473022460938,2076289915
551.2559204101562,552.0736694335938,512.17626953125,524.7382202148438,2535579529
554.4476318359375,564.022705078125,538.3999633789062,551.74755859375,2401108112
568.5787963867188,570.2593383789062,538.531005859375,554.557373046875,2567651316
559.7373046875,569.1212768554688,544.8768310546875,568.578125,2260479871
608.6480712890625,615.5808715820312,555.0560913085938,559.3905029296875,3675930507
636.1139526367188,636.1139526367188,596.7644653320312,608.2634887695312,2779927044
650.4540405273438,669.3458251953125,632.0792846679688,638.18603515625,3017167868
654.3150024414062,655.7136840820312,632.6870727539062,650.4674072265625,2828112534
635.1906127929688,657.0405883789062,632.3316650390625,654.0003662109375,2198989754
615.278076171875,662.3065185546875,578.0742797851562,635.0383911132812,3653998344
629.892333984375,634.8444213867188,606.4091796875,615.4552001953125,2341652507
626.6425170898438,634.5205688476562,604.1627197265625,629.1442260742188,2209163398
650.1041259765625,655.3208618164062,620.5878295898438,627.07958984375,2106170805
650.9180908203125,659.99267578125,634.5494995117188,650.062255859375,2101401990
633.0486450195312,660.044189453125,631.9422607421875,650.943115234375,2146877925
589.8228759765625,635.2603759765625,574.1801147460938,634.9476318359375,3772957260
578.0927734375,593.1080932617188,554.3214111328125,589.3280639648438,2704847734
532.2376098632812,587.9127197265625,518.423095703125,578.0348510742188,2917116815
581.5308227539062,585.8994750976562,525.2415161132812,531.505126953125,2481119529
603.8400268554688,604.8842163085938,574.0227661132812,581.478515625,2336197759
585.2942504882812,605.1771240234375,580.5870971679688,604.4089965820312,2055539646
559.1270141601562,585.1484985351562,554.270263671875,584.8157958984375,2251971535
591.4395751953125,605.0904541015625,559.0416259765625,559.5701904296875,2927434189
581.3953247070312,594.8309936523438,577.5083618164062,591.195556640625,2917418688
603.730224609375,646.9588012695312,587.8598022460938,590.3569946289062,2537227998
585.1473388671875,657.512939453125,566.5331420898438,639.0036010742188,4254504824
600.3367919921875,621.3866577148438,584.7943115234375,587.1033325195312,2485529516
611.3668212890625,612.737548828125,574.55126953125,601.0064086914062,2731676788
624.31005859375,628.4968872070312,602.4429321289062,611.7626342773438,2425803182
622.6698608398438,635.1295166015625,604.8676147460938,623.9569702148438,2781531694
627.9715576171875,650.253173828125,619.1972045898438,621.8128662109375,2806563703
619.4701538085938,629.8849487304688,606.6478271484375,627.5718383789062,2378758113
